http://192.168.0.91/app/kibana#/dev_tools/console?_g=()
GET /_cat/indices?v

health status index                 uuid                   pri rep docs.count docs.deleted store.size pri.store.size
green  open   netflow-v9-2017.12.11 GTQiDdpDSmOB6OJ6EpOyJg   5   0      63721            0     11.7mb         11.7mb
green  open   snort-2017.09.02      55MoJ3AgTkeu40H60WcQZA   1   0        906            0      3.4mb          3.4mb
green  open   netflow-v9-2017.09.01 X6uuxkEpTSS5j_AdgQdCew   5   0      26819            0        6mb            6mb
green  open   packetbeat-2017.10.12 bICprntBTk-NyEh_jKRqMg   5   0     267805            0     70.3mb         70.3mb
yellow open   bro-2018.06.22        mwol5mQjSSWc98-KOY0vsQ   5   1      72311            0     42.3mb         42.3mb
green  open   winlogbeat-2017.11.19 YyEWjD-pSdOGco2kIAzDhw   5   0        259            0    421.5kb        421.5kb
green  open   netflow-v9-2016.08.09 yIfllZi2RTiOgfbemJGDhw   1   0       1708            0      277kb          277kb
green  open   winlogbeat-2018.01.03 F7Fi6b_bSrOdC77Assg9Gg   5   0        210            0    305.8kb        305.8kb
yellow open   netflow-v9-2018.07.16 qZvFeypcTDKsIOb1F92rjw   5   1      18916            0      4.9mb          4.9mb
green  open   snort-2018.06.17      ZNu_83P4Tu-0NdZyfSUnfA   1   0        569            0      2.5mb          2.5mb
green  open   winlogbeat-2018.02.01 kebRtUaZScmbW8BxGcVMkA   5   0        192            0    240.3kb        240.3kb
green  open   netflow-v9-2016.06.29 -rU7M4ZxTnydihpN_jXbMA   1   0       1936            0    218.5kb        218.5kb
green  open   packetbeat-2018.01.12 6uwLVCFOTjSc-Ae9POdlMg   5   0     240964            0     69.6mb         69.6mb
green  open   snort-2017.11.27      RaLCxyZpSn6qRRhQrG2YTg   1   0       2420            0      8.8mb          8.8mb
green  open   winlogbeat-2018.02.07 LI9wwSO7StG4_Xa37J0lDw   5   0        203            0    248.4kb        248.4kb
green  open   netflow-v9-2017.04.19 FXD1cKI4R2ueGcl6A16_iA   1   0      24499            0      4.3mb          4.3mb
green  open   packetbeat-2018.01.15 4mnJSTeoTlG2FX4isrHY7g   5   0     232337            0     59.4mb         59.4mb
green  open   snort-2018.07.17      alwGG_FjS1e87W5kWRPg_Q   1   0        861            0     12.5mb         12.5mb
yellow open   bro-2018.06.23        2bAz0d2MQ96KWiGXyAJPPg   5   1      54269            0     28.9mb         28.9mb
green  open   netflow-v9-2017.09.26 cl8Ogc2XQh6x3IHSJu_9aA   5   0      21861            0      5.1mb          5.1mb
yellow open   bro-2018.07.07        Or3uGe9KSHSCSn9AHrU_Xw   5   1      73194            0     40.4mb         40.4mb
green  open   snort-2017.12.08      XQPGjcbwTSmbwFEh7QyAWQ   1   0       8496            0     30.4mb         30.4mb
